time_s,phase,A7_x,A7_y,A7_z,min_obstacle_h,min_joint_limit_h,min_all_h,active_obstacle_cbfs,joint_tracking_error,qp_max_violation,qp_iterations,qp_time_us,A1_joint,A2_joint,A3_joint,A4_joint,A5_joint,A6_joint,A7_joint
0.265,2/3 raise_arm_pose,0.42492979472827236,-0.34549298951895957,0.6147422094242072,0.09435931653635465,-8.890457814381137e-20,-8.890457814381137e-20,0,0.024967132849455717,8.890457814381138e-19,2,230.6,-0.04147968202062066,1.4916256670808443,0.049494180985204646,-8.890457814381137e-20,-1.4152634837828667e-05,-0.012166480513612046,1.1789835069456475e-07
0.27,2/3 raise_arm_pose,0.4258087169427823,-0.3456959369447039,0.614797243451794,0.09377613283345038,-8.890457814381137e-20,-8.890457814381137e-20,0,0.025874350904140427,8.890457814381138e-19,2,225.6,-0.04297792294281095,1.4913257610977382,0.05126944046752416,-8.890457814381137e-20,-1.421257379478002e-05,-0.012602752584984628,1.24881946759008e-07
0.275,2/3 raise_arm_pose,0.4267028610558443,-0.34590225189553564,0.6148546619693814,0.09318293875846279,-8.890457814381137e-20,-8.890457814381137e-20,0,0.02680475187200207,8.890457814381138e-19,2,237.6,-0.04450213680941093,1.4910208621671133,0.053074554287410286,-8.890457814381137e-20,-1.4237521390174117e-05,-0.013046352124460136,1.3198590175988293e-07
0.28,2/3 raise_arm_pose,0.4276117338078615,-0.3461118115474082,0.6149145059533301,0.09258006627928289,-8.890457814381137e-20,-8.890457814381137e-20,0,0.027743311113420897,8.890457814381138e-19,2,230.5,-0.04605148861755841,1.490711150777003,0.05490848112185507,-8.890457814381137e-20,-1.4225122559805722e-05,-0.013497022632429603,1.3918237103452004e-07
0.28500000000000003,2/3 raise_arm_pose,0.42853485926604323,-0.3463244971621403,0.6149768155526822,0.09196783577599082,-8.890457814381137e-20,-8.890457814381137e-20,0,0.028689492357098927,8.890457814381138e-19,2,234.7,-0.04762517330847802,1.4903968013857687,0.05677021616771599,-8.890457814381137e-20,-1.4173031038682564e-05,-0.013954516586501296,1.4644049496976834e-07
0.29,2/3 raise_arm_pose,0.42947177818865506,-0.3465401939420237,0.6150416300636339,0.09134655646522638,-8.890457814381137e-20,-8.890457814381137e-20,0,0.029642948605653748,8.890457814381138e-19,2,230.6,-0.04922241467760338,1.4900779826376085,0.05865878986276876,-8.890457814381137e-20,-1.4078909811512422e-05,-0.014418595127322983,1.5372632318763333e-07
0.295,2/3 raise_arm_pose,0.4304220474131447,-0.3467587908896849,0.6151089879098046,0.09071652680900599,-8.890457814381137e-20,-8.890457814381137e-20,0,0.030603479184384906,8.890457814381138e-19,2,224.5,-0.05084246432480754,1.489754857570269,0.060573266651539184,-8.890457814381137e-20,-1.3940431516298234e-05,-0.014889027755399247,1.610027426451663e-07
0.3,2/3 raise_arm_pose,0.43138523926722266,-0.34698018067300973,0.6151789266277063,0.09007803490856464,-8.890457814381137e-20,-8.890457814381137e-20,0,0.03157099523981111,8.890457814381138e-19,2,228.5,-0.05248460064325038,1.4894275838152382,0.06251274379435426,-8.890457814381137e-20,-1.3755278814337206e-05,-0.015365592038519015,1.6822940951438624e-07
0.305,2/3 raise_arm_pose,0.4323635028557365,-0.34720485130479406,0.6152516759481207,0.08942966123092916,-8.890457814381137e-20,-8.890457814381137e-20,0,0.03258942444140351,8.890457814381138e-19,2,234.8,-0.0541524957179753,1.4890954387101616,0.0644815304818013,-8.890457814381137e-20,-1.3521453310503805e-05,-0.015849346420398844,1.753789325739934e-07
0.31,2/3 raise_arm_pose,0.43335635402891814,-0.34743268124772697,0.6153272787646533,0.08877173200421778,-8.890457814381137e-20,-8.890457814381137e-20,0,0.03361587760395617,8.890457814381138e-19,2,237.3,-0.055845332955596,1.4887586007321068,0.06647860521999935,-8.890457814381137e-20,-1.3236316931419116e-05,-0.016340039204337534,1.824036989600466e-07
0.315,2/3 raise_arm_pose,0.43436332553851614,-0.3476635529584224,0.6154057770486534,0.08810456216246088,-8.890457814381137e-20,-8.890457814381137e-20,0,0.034649792133991386,8.890457814381138e-19,2,239.1,-0.05756232502184228,1.4884172424665227,0.06850298235062044,-8.890457814381137e-20,-1.2897240598616465e-05,-0.016837427502800713,1.892522357870305e-07
0.32,2/3 raise_arm_pose,0.4353839664175961,-0.3478973527453987,0.6154872118311913,0.08742845576064279,-8.890457814381137e-20,-8.890457814381137e-20,0,0.035690770410565044,8.890457814381138e-19,2,230.8,-0.05930271277601573,1.4880715308178272,0.07055371079584709,-8.890457814381137e-20,-1.250160467926761e-05,-0.0173412769291246,1.9586913053557095e-07
0.325,2/3 raise_arm_pose,0.4364178413836418,-0.3481339706322,0.6155716231902664,0.0867437063745446,-8.890457814381137e-20,-8.890457814381137e-20,0,0.036738545577548395,8.890457814381138e-19,2,245.1,-0.061065764244698326,1.4877216272123472,0.07262987284729573,-8.890457814381137e-20,-1.20467994234786e-05,-0.017851361300008885,2.0219495557903383e-07
0.33,2/3 raise_arm_pose,0.4374645302640532,-0.3483733002254812,0.6156590502426829,0.08605059748595661,-8.890457814381137e-20,-8.890457814381137e-20,0,0.03779295356508316,8.890457814381138e-19,2,237.1,-0.062850773633252,1.4873676877938895,0.07473058299735033,-8.890457814381137e-20,-1.1530225375269504e-05,-0.018367462348421213,2.0816619676028376e-07
0.335,2/3 raise_arm_pose,0.438524441724346,-0.34861542604007456,0.6157496016225361,0.08534886386220097,-8.890457814381137e-20,-8.890457814381137e-20,0,0.03886822987702208,8.890457814381138e-19,2,239.7,-0.06465844914684948,1.4870095862935666,0.07685663000760162,-8.890457814381137e-20,-1.0949232233663003e-05,-0.018889773234152904,2.1371963532897906e-07
0.34,2/3 raise_arm_pose,0.43959878563891563,-0.3488606164299002,0.6158434610078315,0.08463771037605655,1.8865117801247777e-19,-8.890457814381137e-20,0,0.03997903511811528,-5.4622105449819715e-17,2,241.4,-0.06649086634907539,1.4866469243660598,0.07901041750161122,1.8865117801247777e-19,-1.0300942748505472e-05,-0.019418883899755043,2.1879133590379256e-07
0.34500000000000003,2/3 raise_arm_pose,0.4406871033481219,-0.3491087550077128,0.6159406716540309,0.08387193043213931,4.662069341687669e-19,1.8865117801247777e-19,0,0.04109716875308121,-5.73976630113826e-17,2,252.0,-0.06834725592098896,1.4862798727865887,0.08119097984555736,4.662069341687669e-19,-9.582427018778023e-06,-0.019954556304651847,2.2330312147229775e-07
0.35000000000000003,2/3 raise_arm_pose,0.4417889520552443,-0.3493597291480547,0.6160412758129968,0.08305253722287753,4.662069341687669e-19,4.662069341687669e-19,0,0.042222206616274224,-4.662069341687669e-18,2,249.5,-0.07022687605636523,1.4859085967851535,0.08339738529520263,4.662069341687669e-19,-8.790765149111975e-06,-0.02049656073955279,2.2717191360576836e-07
0.355,2/3 raise_arm_pose,0.44290390424504095,-0.34961342985378296,0.6161453147259707,0.0822233324182442,4.662069341687669e-19,4.662069341687669e-19,0,0.04335384076508023,-4.662069341687669e-18,2,243.5,-0.0721290114598988,1.4855332562444765,0.08562873480896789,4.662069341687669e-19,-7.923047746293574e-06,-0.02104467553488042,2.303096542579306e-07
0.36,2/3 raise_arm_pose,0.4440315471241176,-0.3498697516274428,0.6162528286207505,0.081384619578308,4.662069341687669e-19,4.662069341687669e-19,0,0.04449185662526999,-4.662069341687669e-18,2,246.8,-0.07405297238232268,1.4851540058907338,0.08788416090250654,4.662069341687669e-19,-6.976376331983633e-06,-0.021598686779402052,2.3262323193627837e-07
