time_s,phase,A7_x,A7_y,A7_z,min_obstacle_h,min_joint_limit_h,min_all_h,active_obstacle_cbfs,joint_tracking_error,qp_max_violation,qp_iterations,qp_time_us,A1_joint,A2_joint,A3_joint,A4_joint,A5_joint,A6_joint,A7_joint
0.12,2/3 raise_arm_pose,0.40595783980848055,-0.3410776627804606,0.6138945704687144,0.10553729055410008,-0.004558504044760169,-0.004201745727059911,0,0.0006041180052250147,0.11336912081065081,0,15.5,-0.009117008089520338,1.5,0.010940409707424409,-0.004558504044760169,0.0,0.0,0.0
0.125,2/3 raise_arm_pose,0.40639393318279005,-0.3411795554717436,0.6139069182999685,0.10529340633827503,-0.004928606805451308,-0.004558504044760169,0,0.0006954193509318794,0.11960559258582945,0,15.6,-0.009857213610902617,1.5,0.011828656333083143,-0.004928606805451308,0.0,0.0,0.0
0.13,2/3 raise_arm_pose,0.4068453754061992,-0.34128498698406456,0.6139200790651816,0.10504105888102114,-0.005311586953628647,-0.004928606805451308,0,0.0008289616683029255,0.12588209768998074,0,17.4,-0.010623173907257293,1.5,0.012747808688708754,-0.005311586953628647,0.0,0.0,0.0
0.135,2/3 raise_arm_pose,0.4073127174897103,-0.34139408084419637,0.6139341087685056,0.10477995282529387,-0.0057078967303448025,-0.005311586953628647,0,0.0009069573666633228,0.13237782487951766,0,14.4,-0.011415793460689605,1.5,0.013698952152827529,-0.0057078967303448025,0.0,0.0,0.0
0.14,2/3 raise_arm_pose,0.40779755800377143,-0.34150720448576116,0.6139490996200476,0.10450920903684732,-0.006118874956168751,-0.0057078967303448025,0,0.000834586603103587,0.13927461246823775,0,16.2,-0.012237749912337502,1.5,0.014685299894805005,-0.006118874956168751,0.0,0.0,0.0
0.145,2/3 raise_arm_pose,0.40829931230889005,-0.3416242153619267,0.6139650807345642,0.10422916891032166,-0.006544008235381719,-0.006118874956168751,0,0.0008086478669835371,0.14621540540428118,0,17.5,-0.013088016470763438,1.5,0.015705619764916127,-0.006544008235381719,0.0,0.0,0.0
0.15,2/3 raise_arm_pose,0.408817416576513,-0.34174497580900043,0.6139820813550443,0.10394016203588682,-0.006982801141115091,-0.006544008235381719,0,0.0008275160373427679,0.15319866350049172,0,17.8,-0.013965602282230183,1.5,0.01675872273867622,-0.006982801141115091,0.0,0.0,0.0
0.155,2/3 raise_arm_pose,0.40935132700607985,-0.3418693528732531,0.6140001307474392,0.1036425066104186,-0.007434775586440654,-0.006982801141115091,0,0.0008896228724545148,0.16022290047626342,0,16.2,-0.014869551172881308,1.5,0.017843461407457573,-0.007434775586440654,0.0,0.0,0.0
0.16,2/3 raise_arm_pose,0.4099005190738085,-0.34199721814400513,0.6140192581071431,0.10333650983451007,-0.007899470217472681,-0.007434775586440654,0,0.0009934550190524398,0.1672866820708117,0,14.5,-0.015798940434945362,1.5,0.018958728521934434,-0.007899470217472681,0.0,0.0,0.0
0.165,2/3 raise_arm_pose,0.4104644868118008,-0.342128447592755,0.6140394924762045,0.10302246829578557,-0.008376439827711444,-0.007899470217472681,0,0.001137552091234519,0.17438862422247947,0,17.5,-0.016752879655422888,1.5,0.020103455586507467,-0.008376439827711444,0.0,0.0,0.0
0.17,2/3 raise_arm_pose,0.4110447927865965,-0.3422633981586969,0.614060939578334,0.10269952749339537,-0.008866987852551269,-0.008376439827711444,0,0.0011344955138950883,0.18187400324507952,0,22.8,-0.017733975705102538,1.5,0.021280770846123048,-0.008866987852551269,0.0,0.0,0.0
